term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
19,-1.0667502121259605e-05,-8.098806224384385e-06,-8.876750805359986e-06,-6.896935298367565e-06,-5.3033092459851655e-06,-1.1484566270027628e-05,1.5959001508967092e-07,2.8189370381467537e-06,-1.1064066701595862e-05,-1.160964041710048e-05
190,-7.511772397568467e-07,-5.858505759784999e-07,-6.498772062884085e-07,-8.027758875503723e-07,-5.176030545806645e-07,-1.0162717440078275e-06,-1.5174346398166692e-06,-1.7846029076813e-07,2.8112157035337177e-07,-5.9485778084666e-07
19154,-2.2793393873544166e-06,-1.7010787668826119e-06,-1.7762212547598176e-06,-2.19128675345042e-06,-1.3565104487643675e-06,-2.401071638041032e-06,1.2877850276343338e-06,8.791651449878368e-07,-3.353280472016409e-06,-3.018924524585692e-06
1930,-8.764378256649708e-06,-6.843132081801484e-06,-7.084854919091955e-06,-8.527078971889632e-06,-5.4039551940404765e-06,-1.0721730889237499e-05,2.8635207042314737e-06,2.4176602819651063e-06,-1.2608409649958383e-05,-1.412054623261745e-05
1949,-5.580205371982645e-06,-4.147919362769007e-06,-4.506011990216673e-06,-5.34547984701415e-06,-3.3010399969758604e-06,-6.760963383181985e-06,3.2286821894096774e-06,2.133425929087811e-06,-8.972104031264807e-06,-9.109545225224744e-06
1955,-4.964090585109385e-07,-3.767138368611315e-07,-3.9453060232352e-07,-4.795706387717976e-07,-2.956640657947974e-07,-5.8864925965912e-07,2.886462827325562e-07,1.748730299305673e-07,-7.770029838319901e-07,-7.852335652549667e-07
1960s,-2.270723022734265e-06,-1.6952032607649345e-06,-1.7980843070097524e-06,-2.201106596495373e-06,-1.348701037876054e-06,-2.4930164857100657e-06,1.3295333628558671e-06,8.876061562063918e-07,-3.5207610683397623e-06,-3.442487578701047e-06
1967,-1.3028551181067857e-06,-4.848894111923031e-07,-1.0016265995300922e-06,-1.231187094231538e-06,-7.708119083768241e-07,-1.5322291564919817e-06,4.499667994718266e-07,4.289641195163689e-07,-1.836452586409943e-06,-1.5567959124398223e-06
1970,-2.1109960066679167e-06,-1.6361786348683527e-06,-1.7726341313475537e-06,-1.5793464286440118e-06,-1.1882340177496421e-06,-1.409280951567047e-06,4.7116331341253797e-07,5.744748017561439e-07,-2.675661075693308e-06,-2.2049634692585865e-06
1972,-3.835520935791869e-06,-2.837193882089301e-06,-2.9068086555777993e-06,-3.6356286071207324e-06,-2.1175940165258513e-06,-4.242671292585572e-06,2.2492237355089052e-06,1.5145180799640422e-06,-5.627882221858859e-06,-5.4600825805100345e-06
1980,-2.5623473546698244e-06,-1.936926228556523e-06,-2.0433465522344116e-06,-2.4242655344279417e-06,-1.5198473118542537e-06,-2.9361080255295514e-06,6.843090651322225e-07,7.479583209655606e-07,-3.3194688501296753e-06,-3.6728543637406013e-06
1982,-2.907146902281286e-06,-2.179345677893965e-06,-2.4283071323303553e-06,-2.866002902056752e-06,-1.7421792317895905e-06,-3.4193734916205998e-06,1.569390945828268e-06,1.137080730601584e-06,-4.56485692625593e-06,-4.4431520356747116e-06
1983,1.3384883890550272e-06,-8.272870212860236e-07,2.338899662700991e-06,-6.617921569654833e-07,-4.748235113301836e-07,-1.0587340239719375e-06,4.936717250329588e-07,3.6099904061545036e-07,-1.5599306563997304e-06,-1.7509837618826555e-06
1985,2.4027472294887236e-06,-2.6789513771962412e-06,-3.0197317325261764e-06,-3.3766768671340644e-06,-2.2294104793540545e-06,-4.5727950491146305e-06,3.1662249787799865e-06,1.6697176049119783e-06,-7.204287328749228e-06,3.06326981527657e-06
1992,-6.345897823117909e-06,-5.083240367502224e-06,-5.624291900427435e-06,-5.529425954213594e-06,-4.035754324329745e-06,-8.93365167665604e-06,4.5138553872732996e-06,2.694213385814268e-06,-1.343308379570699e-05,-5.3994540996583294e-06
1995,-5.769363871871844e-07,-4.414603315534065e-07,-5.273038410502392e-07,3.064903307654111e-07,-2.5549421774852927e-08,-3.9630325514219277e-07,3.3744064226717964e-07,2.0635803329852577e-07,-7.694318945848536e-07,-7.306834442850034e-07
1996,-1.8306048647901106e-06,-1.4422974710541563e-06,-1.5687871260731915e-06,-9.295108337049948e-07,-8.25705316576271e-07,-1.9315326715939413e-06,1.6712926102652175e-06,7.789265819992058e-07,-3.411451013078351e-06,4.490203042778628e-06
