season,episode,scene,line,term_str,n,tfidf,max_pos,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
1,2,11,346,good,1,0.10030275967927003,JJ,0,1,0,0,1,0,1,1,1
1,2,11,346,ruin,1,0.23156986072970592,VB,0,0,0,1,0,1,0,0,-1
1,2,11,347,wait,1,2.286419292129784,NN,0,1,0,0,0,0,0,0,-1
1,2,11,348,credit,1,0.817119816797617,NN,0,0,0,0,0,0,0,1,1
1,2,12,351,hero,2,0.6114605788783025,NN,0,1,0,0,1,0,1,1,1
1,2,12,351,honesty,1,0.34771558324775753,NN,0,0,0,0,0,0,0,1,1
1,2,12,351,respect,1,0.2826630059517911,NN,0,1,0,0,1,0,0,1,1
1,2,12,352,hero,1,0.5944755627983496,NN,0,1,0,0,1,0,1,1,1
1,2,12,353,hero,1,0.9727781936700267,NN,0,1,0,0,1,0,1,1,1
1,2,12,354,harm,1,1.228552263109145,NN,0,0,0,1,0,0,0,0,-1
1,2,12,354,hero,1,1.0700560130370294,NN,0,1,0,0,1,0,1,1,1
1,2,12,356,childhood,1,0.4964421405270123,NN,0,0,0,0,1,0,0,0,1
1,2,12,356,disaster,1,0.4748194052725042,NN,1,0,1,1,0,1,1,0,-1
1,2,12,356,hero,2,0.8560448104296235,NN,0,1,0,0,1,0,1,1,1
1,2,12,358,hero,1,1.3375700162962867,NN,0,1,0,0,1,0,1,1,1
1,2,12,359,kind,2,0.39438864790622263,NN,0,0,0,0,1,0,0,1,1
1,2,12,359,pledge,1,0.3380568170464309,NN,0,0,0,0,1,0,0,1,1
1,2,12,361,leave,1,1.0796574537897499,VB,0,0,0,0,0,1,1,0,-1
1,2,12,362,teach,1,0.19179194612591352,VB,0,0,0,0,1,0,1,1,1
1,2,13,371,instructions,1,0.35479794734573533,NNS,0,1,0,0,0,0,0,1,0
1,2,13,373,worry,1,1.8285129354498815,VB,0,1,0,1,0,1,0,0,-1
1,2,14,377,hero,1,0.16719625203703584,NN,0,1,0,0,1,0,1,1,1
1,2,14,377,honesty,1,0.1901569595886174,NN,0,0,0,0,0,0,0,1,1
1,2,14,377,laughing,1,0.1291117940322343,VBG,0,0,0,0,1,0,0,0,1
1,2,14,377,lose,1,0.14756594339235168,VB,1,0,1,1,0,1,1,0,-1
1,2,14,377,pledge,1,0.1901569595886174,NN,0,0,0,0,1,0,0,1,1
1,2,14,377,regret,2,0.3586927409073077,VB,0,0,0,0,0,1,0,0,-1
1,2,14,377,respect,1,0.15458133137988578,NN,0,1,0,0,1,0,0,1,1
1,2,14,377,word,1,0.13756868658366928,NN,0,0,0,0,0,0,0,1,1
1,2,15,379,abandoned,1,0.08699013787924859,VBN,1,0,0,1,0,1,0,0,-1
1,2,15,379,pledge,3,0.25006942630831874,NN,0,0,0,0,1,0,0,1,1
1,2,16,380,good,1,0.2891079543696607,JJ,0,1,0,0,1,0,1,1,1
1,2,16,380,pretty,1,0.437648975302769,RB,0,1,0,0,1,0,0,1,1
1,2,16,381,laughing,1,0.43490288516121023,VBG,0,0,0,0,1,0,0,0,1
1,2,16,384,cop,1,0.133452188313713,NN,0,0,0,1,0,0,0,1,0
1,2,16,384,fun,1,0.07850139272560923,NN,0,1,0,0,1,0,0,0,1
1,2,16,384,hell,1,0.09231271949408987,NN,1,0,1,1,0,1,0,0,-1
1,2,16,384,offensive,2,0.23791677870440867,JJ,1,0,1,0,0,0,0,0,-1
1,2,16,384,progress,1,0.13839231324529686,NN,0,1,0,0,1,0,0,0,1
1,2,16,384,word,1,0.09467092410058961,NN,0,0,0,0,0,0,0,1,1
1,2,17,385,attack,1,0.15365458624659725,NN,1,0,0,1,0,0,0,0,-1
1,2,18,389,kind,1,1.014142237473144,NN,0,0,0,0,1,0,0,1,1
1,2,18,392,enjoy,1,0.11904830091505413,VB,0,1,0,0,1,0,0,1,1
1,2,18,392,kind,1,0.08657311783307327,NN,0,0,0,0,1,0,0,1,1
1,2,18,392,leave,1,0.09216588020156402,VB,0,0,0,0,0,1,1,0,-1
1,2,18,392,united,1,0.14711134402140247,NNP,0,0,0,0,0,0,0,1,1
1,2,18,396,kind,1,0.1543259926589567,NN,0,0,0,0,1,0,0,1,1
1,2,18,396,suffering,1,0.27979315503940444,VBG,0,0,1,1,0,1,0,0,-1
1,2,18,399,united,2,1.0052608508129168,NNP,0,0,0,0,0,0,0,1,1
1,2,18,404,offensive,1,0.5822700110397369,JJ,1,0,1,0,0,0,0,0,-1
