term_str,term_rank,n,p,i,n_chars,max_pos_group,max_pos,n_pos_group,n_pos,stop,porter_stem,df,idf,dfidf,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
teasing,10242,2,2.5483388016436784e-06,18.58201147267282,7,VB,VBG,1,1,0,teas,1,15.870485131812606,15.870485131812606,1,0,0,1,0,1,0,0,0,0,-1
nuisance,10244,2,2.5483388016436784e-06,18.58201147267282,8,NN,NN,1,1,0,nuisanc,2,14.870485131812606,29.74097026362521,1,0,0,0,0,1,0,0,0,0,-1
touchy,10246,2,2.5483388016436784e-06,18.58201147267282,6,JJ,JJ,2,2,0,touchi,2,14.870485131812606,29.74097026362521,1,0,0,0,0,1,0,1,0,0,-1
salvation,10258,2,2.5483388016436784e-06,18.58201147267282,9,NN,NN,1,2,0,salvat,2,14.870485131812606,29.74097026362521,0,1,0,0,1,0,1,0,0,1,1
aggression,10260,2,2.5483388016436784e-06,18.58201147267282,10,NN,NN,1,1,0,aggress,2,14.870485131812606,29.74097026362521,1,0,0,1,0,1,0,0,0,0,-1
betrayal,10290,2,2.5483388016436784e-06,18.58201147267282,8,NN,NN,1,2,0,betray,2,14.870485131812606,29.74097026362521,1,0,1,0,0,1,0,1,0,0,-1
revolution,10298,2,2.5483388016436784e-06,18.58201147267282,10,NN,NN,1,2,0,revolut,2,14.870485131812606,29.74097026362521,1,1,0,1,0,1,1,1,1,0,0
readiness,10308,2,2.5483388016436784e-06,18.58201147267282,9,NN,NN,1,1,0,readi,2,14.870485131812606,29.74097026362521,0,1,0,0,1,0,1,0,0,1,1
surround,10313,2,2.5483388016436784e-06,18.58201147267282,8,NN,NN,1,1,0,surround,2,14.870485131812606,29.74097026362521,0,1,0,0,0,1,1,0,0,0,0
prevail,10327,2,2.5483388016436784e-06,18.58201147267282,7,NN,NNP,2,2,0,prevail,2,14.870485131812606,29.74097026362521,0,1,0,0,1,0,1,0,0,0,1
injustice,10335,2,2.5483388016436784e-06,18.58201147267282,9,NN,NN,1,1,0,injustic,2,14.870485131812606,29.74097026362521,1,0,0,0,0,1,0,0,0,0,-1
rags,10348,2,2.5483388016436784e-06,18.58201147267282,4,NN,NN,1,2,0,rag,2,14.870485131812606,29.74097026362521,0,0,1,0,0,1,0,0,0,0,-1
snare,10350,2,2.5483388016436784e-06,18.58201147267282,5,NN,NN,2,2,0,snare,2,14.870485131812606,29.74097026362521,0,0,0,1,0,1,0,0,0,0,-1
momentum,10355,2,2.5483388016436784e-06,18.58201147267282,8,NN,NN,1,1,0,momentum,2,14.870485131812606,29.74097026362521,0,1,0,0,0,0,1,0,0,0,1
noble,10365,2,2.5483388016436784e-06,18.58201147267282,5,JJ,JJ,1,1,0,nobl,2,14.870485131812606,29.74097026362521,0,0,0,0,0,0,1,0,0,1,1
ambassador,10367,2,2.5483388016436784e-06,18.58201147267282,10,NN,NN,1,1,0,ambassador,2,14.870485131812606,29.74097026362521,0,0,0,0,0,0,1,0,0,1,1
halter,10376,2,2.5483388016436784e-06,18.58201147267282,6,JJ,JJR,2,2,0,halter,2,14.870485131812606,29.74097026362521,1,0,0,1,0,1,0,1,0,0,-1
blessing,10382,2,2.5483388016436784e-06,18.58201147267282,8,NN,NN,1,1,0,bless,2,14.870485131812606,29.74097026362521,0,1,0,0,1,0,1,0,0,1,1
hating,10396,2,2.5483388016436784e-06,18.58201147267282,6,VB,VBG,1,1,0,hate,2,14.870485131812606,29.74097026362521,1,0,0,0,0,1,0,0,0,0,-1
egregious,10398,2,2.5483388016436784e-06,18.58201147267282,9,JJ,JJ,2,2,0,egregi,1,15.870485131812606,15.870485131812606,1,0,1,0,0,1,0,0,0,0,-1
hateful,10399,2,2.5483388016436784e-06,18.58201147267282,7,JJ,JJ,2,2,0,hate,2,14.870485131812606,29.74097026362521,1,0,1,1,0,1,0,1,0,0,-1
shack,10405,2,2.5483388016436784e-06,18.58201147267282,5,NN,NN,1,2,0,shack,2,14.870485131812606,29.74097026362521,0,0,1,0,0,1,0,1,0,0,-1
luxurious,10412,2,2.5483388016436784e-06,18.58201147267282,9,JJ,JJ,1,1,0,luxuri,2,14.870485131812606,29.74097026362521,0,0,0,0,1,0,1,0,0,0,1
demon,10459,2,2.5483388016436784e-06,18.58201147267282,5,NN,NNP,1,1,0,demon,2,14.870485131812606,29.74097026362521,1,0,1,1,0,1,0,1,0,0,-1
checklist,10470,2,2.5483388016436784e-06,18.58201147267282,9,NN,NN,1,1,0,checklist,2,14.870485131812606,29.74097026362521,0,0,0,0,0,0,1,0,0,1,1
depressing,10471,2,2.5483388016436784e-06,18.58201147267282,10,JJ,JJ,2,2,0,depress,2,14.870485131812606,29.74097026362521,0,0,1,0,0,1,0,1,0,0,-1
grumble,10475,2,2.5483388016436784e-06,18.58201147267282,7,JJ,JJ,1,1,0,grumbl,1,15.870485131812606,15.870485131812606,1,0,1,0,0,1,0,0,0,0,-1
gag,10505,2,2.5483388016436784e-06,18.58201147267282,3,JJ,JJ,2,2,0,gag,2,14.870485131812606,29.74097026362521,0,0,1,0,0,1,0,0,0,0,-1
contempt,10519,2,2.5483388016436784e-06,18.58201147267282,8,NN,NN,1,1,0,contempt,2,14.870485131812606,29.74097026362521,1,0,1,1,0,1,0,0,0,0,-1
defective,10522,2,2.5483388016436784e-06,18.58201147267282,9,JJ,JJ,1,1,0,defect,2,14.870485131812606,29.74097026362521,0,0,1,0,0,1,0,0,0,0,-1
sanctuary,10526,2,2.5483388016436784e-06,18.58201147267282,9,NN,NN,1,1,0,sanctuari,2,14.870485131812606,29.74097026362521,0,1,0,0,1,0,1,0,0,1,1
warranty,10537,2,2.5483388016436784e-06,18.58201147267282,8,NN,NN,1,1,0,warranti,2,14.870485131812606,29.74097026362521,0,0,0,0,0,0,1,0,0,1,1
